etiqueta	texto
sorpresa	EEUU acusó erróneamente a cantante dominicano
sorpresa	¡De terror! Viento eleva inflable con niños en su interior
sorpresa	Camboyano adoran a pitón de la suerte para ganar la Lotería
sorpresa	"Barack Obama: ""Rusia es un país que no produce nada"""
sorpresa	"""CBS golpea a los seguidores de """"Two and a Half Men"""" anunciando el final de la serie"""
sorpresa	U. de Concepción ocupó 6 extranjeros al mismo tiempo en Copa Chile y perderá los puntos
sorpresa	Fondo de Warren Buffett comprará Duracell a Procter & Gamble en US$4.700 millones
sorpresa	Felipe VI de España afronta su primera prueba con procesamiento de su hermana Cristina
sorpresa	"Avión malasio perdido: Director de aerolínea afirma que podrían tardarse ""décadas"" en hallarlo"
sorpresa	Neurólogos investigan si la corrupción podría ser un problema mental curable
sorpresa	Hallan fósiles de animales que vivían en Bolivia durante la Edad de Hielo
sorpresa	Bebé inmigrante llega sola a España a bordo de una embarcación
sorpresa	Latinoamérica presenta la tasa más alta del mundo de mujeres en investigación
sorpresa	Presidente de la Corte Suprema de Chile renuncia a coordinar causas de DDHH
sorpresa	Tommy Robredo dio la gran sorpresa en Cincinatti y eliminó a Djokovic
sorpresa	Mujeres se manifiestan en ropa interior frente a La Moneda
sorpresa	Nintendo se disculpa por no incluir relaciones gay en juego
sorpresa	Mujer en Estados Unidos podrá pedir el divorcio a través de Facebook
sorpresa	El avión malasio con 239 personas no cayó en la zona de búsqueda
sorpresa	Selección chilena cae ante la Sub 21 en partido de entrenamiento
sorpresa	Cinco metidas de pata catastróficas cometidas por principiantes
sorpresa	Director de Iron Man 3 realizará nueva cinta de Depredador
sorpresa	Forenses encuentran evidencias de fosas con restos humanos en selva de Perú
sorpresa	Por primera vez en Chile, un militar revela que es gay
sorpresa	El hombre más alto y el más bajo del mundo, juntos en Londres
sorpresa	Gurú durmiente: no saben si murió o está meditando
sorpresa	¡Dejen de acampar fuera de nuestras tiendas!, sugiere Apple
sorpresa	Inédita propuesta de la UEFA: Si un jugador lesiona a otro deberá salir hasta que el rival se recupere
sorpresa	Denuncian que Kate Middleton fue víctima de pinchazos telefónicos en 155 ocasiones
sorpresa	Autoridades sudanesas explican que joven absuelta de apostasía fue detenida por portar un documento irregular
sorpresa	Astrónomos encuentran un diamante del porte de la Tierra
sorpresa	Parte en Ginebra juicio a ex jefe de la Policía de Guatemala por la muerte de 10 personas
sorpresa	Perú: holandés asesino avanza gestión para casarse
sorpresa	Descubren fósiles de 300 millones de años de antigüedad en Puchuncaví
sorpresa	Antidepresivo reduce producción de proteínas vinculadas al Alzheimer
sorpresa	"Culpan a las ""50 sombras de Grey"" de disparar las enfermedades de transmisión sexual"
sorpresa	Niña de nueve años hace skate como una profesional
sorpresa	Kirchnerismo ataca a la oposición publicando ejemplares falsos del diario Clarín
sorpresa	Pinilla sería multado por el Cagliari por decir que no seguirá en el club
sorpresa	Contraloría resuelve que Institutos Profesionales no pueden seguir impartiendo pedagogías
sorpresa	Ex amante aseguró que Pablo Escobar estuvo involucrado en la muerte de Carlos Menem Jr.
sorpresa	"Médicos ""fueron cómplices de abusos y torturas"" en prisiones de EE.UU."
sorpresa	Desconocidos que trataban de robar en centro de acopio de cerro en Valparaíso escaparon con fusiles de militares
sorpresa	"La crisis de los ""maestros aviadores"" en México"
sorpresa	Alemania hace un cambio de última hora en lista provisional para el Mundial y llama a Kramer
sorpresa	Suprema da golpe a la Fiscalía y a la agenda de seguridad del Gobierno: declara ilegales peritajes a imputados por bombazos
sorpresa	Deportación de guatemaltecos de EE.UU. aumentó 5,87 % en 9 meses de 2014
sorpresa	Encuentran en Argentina el saurópodo más antiguo de América del Sur
sorpresa	Hallan espermatozoides fosilizados de 17 millones de años
sorpresa	Federer es eliminado sorpresivamente en segunda ronda del Masters de Roma
sorpresa	El delincuente más guapo del mundo iniciará una carrera de modelo
sorpresa	Dominicana: banda se hacía pasar por agentes DEA
sorpresa	EE.UU. admite que mantuvo por error en la cárcel a cantante dominicano durante un mes
sorpresa	Descubren un gen que le permite a los tibetanos vivir en altura
sorpresa	Hallan tortuga gigante en plena calle de California
sorpresa	"Entrevista AFP - La atípica primera dama de Uruguay: ""Soy el mejor soldado"" de Mujica"
